Open,High,Low,Close,Volume,Ticker,Change
8450,8450,8450,8450,0,PPH,0.0
8450,8450,8450,8450,0,PPH,0.0
8450,8450,8450,8450,0,PPH,0.0
8450,8450,8450,8450,0,PPH,0.0
8150,8150,8150,8150,300,PPH,-0.035502958579881616
8910,8970,8910,8970,600,PPH,0.10061349693251542
8910,8910,8910,8910,100,PPH,-0.006688963210702337
8910,8910,8910,8910,0,PPH,0.0
8910,8910,8910,8910,100,PPH,0.0
8910,8910,8910,8910,0,PPH,0.0
8910,8910,8910,8910,0,PPH,0.0
8910,8910,8910,8910,0,PPH,0.0
8910,9020,8910,9020,8800,PPH,0.012345679012345734
8970,9020,8970,9020,8900,PPH,0.0
9220,9220,8970,9020,14700,PPH,0.0
9060,9060,9060,9060,0,PPH,0.0044345898004434225
9170,9170,9060,9060,13100,PPH,0.0
9020,9020,9020,9020,1000,PPH,-0.004415011037527616
8970,9020,8970,9020,5300,PPH,0.0
8970,9220,8970,9220,2000,PPH,0.022172949002217335
8970,9220,8970,9220,17200,PPH,0.0
9110,9220,9060,9220,24300,PPH,0.0
9110,9480,9110,9220,17919,PPH,0.0
9480,9990,9480,9890,32200,PPH,0.07266811279826468
9730,9730,8290,9220,9100,PPH,-0.06774519716885741
9730,9780,9370,9430,10400,PPH,0.022776572668112838
9370,9490,9370,9490,4700,PPH,0.006362672322375307
9730,9960,9490,9960,1600,PPH,0.04952581664910438
9530,9960,9530,9670,6000,PPH,-0.029116465863453844
9780,9780,9670,9670,700,PPH,0.0
9670,9670,9670,9670,1600,PPH,0.0
9670,9670,9530,9600,6800,PPH,-0.007238883143743546
9600,9600,9430,9430,7100,PPH,-0.017708333333333326
9530,9600,9530,9600,4100,PPH,0.018027571580063517
9530,9600,9530,9600,9000,PPH,0.0
9530,9530,9490,9490,5500,PPH,-0.011458333333333348
9530,9530,9530,9530,4500,PPH,0.004214963119072657
9530,9530,9530,9530,3500,PPH,0.0
9530,9530,9490,9490,6213,PPH,-0.0041972717733472775
9490,9490,9370,9370,1200,PPH,-0.012644889357218081
9430,9600,9430,9530,2700,PPH,0.01707577374599789
9600,9670,9600,9670,300,PPH,0.014690451206715638
9600,9600,9490,9490,4800,PPH,-0.018614270941054833
9600,9600,9430,9490,4200,PPH,0.0
9530,9600,9530,9600,1700,PPH,0.011591148577450028
9600,9670,9600,9670,2800,PPH,0.007291666666666696
9670,9730,9530,9530,7100,PPH,-0.014477766287487093
9670,9670,9670,9670,1000,PPH,0.014690451206715638
9530,9670,9530,9670,200,PPH,0.0
9670,9670,9600,9600,2000,PPH,-0.007238883143743546
9600,9670,9600,9600,8100,PPH,0.0
9600,9670,9600,9670,10000,PPH,0.007291666666666696
9670,9730,9670,9730,6000,PPH,0.006204756980351611
9780,9780,9730,9730,14000,PPH,0.0
9780,9900,9780,9900,1500,PPH,0.01747173689619741
9840,9840,9840,9840,0,PPH,-0.0060606060606061
9900,10000,9900,10000,213,PPH,0.016260162601626105
9960,9960,9960,9960,0,PPH,-0.0040000000000000036
9960,9960,9960,9960,0,PPH,0.0
9960,9960,9960,10000,3,PPH,0.004016064257028162
10370,10550,10310,10370,5421,PPH,0.03699999999999992
9960,9960,9960,9960,200,PPH,-0.0395371263259402
10080,10370,10080,10200,7400,PPH,0.024096385542168752
9840,9840,9840,9840,100,PPH,-0.03529411764705881
9840,9840,9840,9840,0,PPH,0.0
9840,9840,9840,9840,0,PPH,0.0
10080,10080,10080,10080,100,PPH,0.024390243902439046
10670,10670,10550,10670,8623,PPH,0.058531746031746046
10780,10780,10780,10780,508,PPH,0.010309278350515427
10670,10670,10670,10670,420,PPH,-0.010204081632653073
10370,10670,10370,10670,1700,PPH,0.0
10610,12090,10370,10670,6900,PPH,0.0
11150,11150,11150,11150,1100,PPH,0.04498594189315841
10370,11860,10370,11860,1300,PPH,0.0636771300448431
10550,10550,10550,10550,200,PPH,-0.1104553119730185
10430,10430,10370,10370,2000,PPH,-0.017061611374407537
10370,10370,10080,10080,4200,PPH,-0.027965284474445462
10140,10140,10140,10140,0,PPH,0.005952380952380931
10670,10670,10670,10670,128,PPH,0.05226824457593682
10670,10670,10670,10670,0,PPH,0.0
10670,10670,10670,10670,0,PPH,0.0
10670,10670,10670,10670,0,PPH,0.0
10670,10670,10670,10670,100,PPH,0.0
9840,9840,9600,9780,1100,PPH,-0.08341143392689787
10370,10370,9730,9780,14300,PPH,0.0
9780,9780,9780,9780,328,PPH,0.0
9840,9900,9840,9840,10700,PPH,0.006134969325153339
9840,9840,9840,9840,300,PPH,0.0
9840,9840,9780,9780,17100,PPH,-0.0060975609756097615
9670,9670,9670,9670,5000,PPH,-0.011247443762781195
9670,9670,9670,9670,0,PPH,0.0
9670,9670,9670,9670,0,PPH,0.0
9600,9600,9600,9600,2000,PPH,-0.007238883143743546
9490,9490,9490,9490,500,PPH,-0.011458333333333348
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9370,9370,16100,PPH,-0.012644889357218081
9490,9490,9490,9490,100,PPH,0.012806830309498363
9370,9370,9370,9370,200,PPH,-0.012644889357218081
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,200,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,200,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
10490,10490,10490,10490,100,PPH,0.11953041622198501
9490,9490,9490,9490,900,PPH,-0.09532888465204958
9960,9960,8880,9490,1400,PPH,0.0
9730,9730,9730,9730,100,PPH,0.025289778714436162
9370,9370,9370,9370,200,PPH,-0.03699897225077087
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9370,9370,9370,9370,0,PPH,0.0
9600,9600,9600,9600,100,PPH,0.0245464247598719
9190,9190,9190,9190,1000,PPH,-0.04270833333333335
9190,9190,9190,9190,0,PPH,0.0
9190,9190,9190,9190,1600,PPH,0.0
9530,9600,9190,9190,5200,PPH,0.0
9530,9530,9530,9530,300,PPH,0.03699673558215455
9530,9530,9530,9530,0,PPH,0.0
9530,9530,9490,9490,1500,PPH,-0.0041972717733472775
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9490,9490,500,PPH,0.0
9490,9730,9490,9730,1100,PPH,0.025289778714436162
9530,9530,9490,9490,900,PPH,-0.02466598150051391
9010,9010,8880,8880,1000,PPH,-0.06427818756585879
9730,9730,9730,9730,100,PPH,0.09572072072072069
9730,9730,9730,9730,0,PPH,0.0
9730,9730,9730,9730,0,PPH,0.0
9730,9730,9730,9730,0,PPH,0.0
9730,9730,9730,9730,0,PPH,0.0
9730,9730,9730,9730,0,PPH,0.0
9730,9730,9730,9730,0,PPH,0.0
8880,8880,8290,8880,16200,PPH,-0.0873586844809866
8840,8840,8840,8840,0,PPH,-0.0045045045045044585
8840,8840,8840,8840,0,PPH,0.0
9370,9370,9370,9370,100,PPH,0.05995475113122173
9370,9370,9370,9370,0,PPH,0.0
8880,8950,8880,8950,1100,PPH,-0.04482390608324438
8880,8880,8880,8880,0,PPH,-0.007821229050279377
8880,8880,8880,8880,0,PPH,0.0
9300,9300,9300,9300,200,PPH,0.04729729729729737
9300,9300,9300,9300,0,PPH,0.0
9300,9300,9300,9300,0,PPH,0.0
9300,9300,9300,9300,0,PPH,0.0
9300,9300,9300,9300,0,PPH,0.0
9300,9300,9300,9300,0,PPH,0.0
9300,9300,9300,9300,0,PPH,0.0
9190,9490,9190,9490,1500,PPH,0.02043010752688179
9300,9300,9300,9300,0,PPH,-0.02002107481559534
9490,9490,9490,9490,100,PPH,0.02043010752688179
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9490,9490,0,PPH,0.0
9490,9490,9490,9490,200,PPH,0.0
9490,9490,9490,9490,2000,PPH,0.0
